試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788115,2026-03-05,Pool C,C,5,Czechia,Korea,838331,Woo Joo Jeong,803013,Marek Chlup,5,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,5,Korea,Czechia,807156,Michal Kovala,838336,Hyun Min Ahn,6,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,5,Korea,Czechia,807156,Michal Kovala,823575,Bo Gyeong Moon,3,死球,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
788115,2026-03-05,Pool C,C,5,Korea,Czechia,807156,Michal Kovala,694376,Shay Whitcomb,2,本塁打,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,4
788115,2026-03-05,Pool C,C,5,Korea,Czechia,807156,Michal Kovala,808975,Hyeseong Kim,7,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788115,2026-03-05,Pool C,C,5,Korea,Czechia,807156,Michal Kovala,673526,Dong Won Park,8,三振,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,5,Korea,Czechia,807156,Michal Kovala,823572,Ju Won Kim,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,6,Czechia,Korea,823561,Yeong Hyun Park,693973,Martin Muzik,5,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,6,Czechia,Korea,823561,Yeong Hyun Park,687781,Vojtech Mensik,7,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788115,2026-03-05,Pool C,C,6,Czechia,Korea,823561,Yeong Hyun Park,679925,William Escala,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,6,Czechia,Korea,823561,Yeong Hyun Park,838351,Max Prejda,1,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,6,Korea,Czechia,626416,Jan Novak,838339,Do Yeong Kim,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,6,Korea,Czechia,626416,Jan Novak,663330,Jahmai Jones,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,6,Korea,Czechia,626416,Jan Novak,808982,Jung Hoo Lee,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
